                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                  1.617,                 1.8732,                 2.4582,                0.69079,                 0.5064,                0.57416,                0.43699,                 2.3328,                 3.5657,                 3.2586,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.5967,                 1.8052,                 2.4503,                0.64489,                0.51314,                0.56982,                0.42648,                 2.4409,                 3.3594,                 3.3093,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.6153,                  1.808,                 2.4465,                 0.5518,                0.52932,                0.55163,                0.41172,                 2.4958,                  3.447,                 3.3823,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.5276,                 1.7107,                 2.4128,                 0.5996,                0.48713,                0.51609,                0.37775,                 2.4777,                 3.5976,                 3.3727,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.4892,                 1.6618,                 2.3737,                0.66886,                0.45767,                0.52578,                0.39995,                  2.427,                 3.4841,                  3.292,             0.00047306,             0.00047306,             0.00047306
                     60,                  1.493,                 1.6619,                 2.3637,                0.61829,                0.50073,                0.51604,                0.40198,                  2.455,                  3.801,                 3.4253,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.5235,                 1.7271,                 2.3523,                0.65948,                0.45195,                0.50095,                0.38714,                 2.4232,                 3.9035,                 3.3313,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.5205,                 1.6415,                 2.3743,                0.51495,                0.47623,                0.49215,                 0.3767,                 2.3698,                  3.937,                 3.2726,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.4386,                  1.542,                 2.3474,                0.53806,                0.51684,                0.51398,                0.38834,                 2.4341,                 3.7045,                  3.363,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.4486,                 1.5877,                 2.3267,                0.63357,                 0.4854,                0.52181,                0.39216,                 2.4144,                 3.8409,                 3.3336,             0.00041807,             0.00041807,             0.00041807
                     65,                 1.4324,                  1.564,                 2.3179,                  0.624,                0.49594,                0.53924,                0.41052,                  2.371,                 3.6703,                 3.2982,             0.00040707,             0.00040707,             0.00040707
                     66,                 1.4116,                 1.5248,                 2.2838,                0.56937,                0.51961,                0.52119,                0.40474,                 2.3411,                  3.872,                 3.2465,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.4099,                 1.4753,                 2.2896,                0.58319,                 0.4743,                0.49923,                0.38407,                 2.3304,                 4.0332,                 3.2698,             0.00038507,             0.00038507,             0.00038507
                     68,                  1.369,                 1.4899,                 2.2846,                0.56953,                0.47342,                0.51244,                 0.3881,                 2.4379,                 3.8484,                 3.3878,             0.00037407,             0.00037407,             0.00037407
