                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                  1.598,                 1.6228,                 2.2998,                0.58858,                0.51478,                0.51559,                0.37752,                 2.5343,                 3.5986,                 3.1989,             0.00053906,             0.00053906,             0.00053906
                     54,                  1.573,                 1.6444,                  2.253,                0.57761,                0.53969,                0.54801,                0.40507,                 2.4762,                 3.5246,                  3.257,             0.00052806,             0.00052806,             0.00052806
                     55,                 1.5564,                  1.614,                 2.2591,                0.53153,                 0.4632,                0.47989,                0.35788,                 2.5466,                 3.8308,                 3.2437,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.5651,                 1.5564,                 2.2562,                0.52042,                0.51819,                0.50289,                0.37687,                 2.5794,                 3.6781,                 3.2799,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.5261,                 1.5071,                 2.2169,                0.60799,                0.48474,                0.51781,                0.38975,                 2.4981,                 3.5333,                 3.2377,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.4747,                 1.4938,                  2.201,                0.55526,                0.53039,                0.50394,                0.35962,                 2.6752,                 3.6926,                  3.366,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.4944,                 1.4528,                  2.214,                0.55966,                0.54445,                 0.5564,                0.40364,                 2.5127,                 3.4643,                 3.2428,             0.00047306,             0.00047306,             0.00047306
                     60,                 1.4557,                 1.4138,                 2.2104,                0.63828,                0.47751,                 0.5221,                0.37704,                 2.5761,                 3.7247,                 3.2223,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.4692,                 1.4664,                 2.2128,                0.58868,                0.52389,                0.48567,                0.34308,                 2.6287,                  3.736,                 3.3153,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.4359,                 1.3872,                 2.1635,                 0.5917,                0.50505,                0.50364,                0.36556,                 2.5166,                   3.75,                 3.2993,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.4565,                 1.4156,                 2.2028,                0.61292,                0.48937,                0.51894,                0.36658,                 2.5576,                 3.8216,                 3.3054,             0.00042907,             0.00042907,             0.00042907
                     64,                 1.3628,                 1.3619,                 2.1861,                0.56051,                0.56789,                0.52516,                0.38411,                 2.4829,                 3.5842,                 3.1423,             0.00041807,             0.00041807,             0.00041807
                     65,                 1.4477,                 1.4119,                 2.2013,                0.48995,                0.46399,                0.46736,                0.35081,                 2.5776,                  3.841,                 3.2873,             0.00040707,             0.00040707,             0.00040707
                     66,                 1.4043,                 1.3579,                 2.1763,                0.60718,                0.54639,                0.56063,                0.41016,                 2.4749,                  3.658,                 3.1854,             0.00039607,             0.00039607,             0.00039607
                     67,                  1.408,                 1.3708,                 2.1646,                 0.6365,                0.45808,                0.49376,                0.37077,                 2.5718,                  3.848,                 3.2738,             0.00038507,             0.00038507,             0.00038507
                     68,                 1.4031,                 1.3314,                 2.1702,                 0.7484,                0.44721,                0.52085,                 0.3735,                 2.4668,                 3.9473,                 3.2013,             0.00037407,             0.00037407,             0.00037407
                     69,                 1.3891,                 1.3592,                 2.1593,                0.66047,                 0.4976,                0.54424,                0.40293,                 2.4957,                 3.6415,                 3.2428,             0.00036307,             0.00036307,             0.00036307
                     70,                 1.3471,                 1.3456,                 2.1408,                0.65676,                0.48905,                0.56246,                0.42295,                 2.5066,                 3.5949,                 3.2462,             0.00035208,             0.00035208,             0.00035208
                     71,                   1.34,                  1.296,                 2.1404,                0.56728,                0.54681,                0.53603,                0.39882,                 2.5432,                 3.6777,                 3.2156,             0.00034108,             0.00034108,             0.00034108
                     72,                 1.3147,                  1.241,                 2.1239,                0.56151,                0.54687,                0.54075,                0.40466,                 2.4645,                 3.7809,                 3.2059,             0.00033008,             0.00033008,             0.00033008
                     73,                 1.3032,                 1.2354,                 2.1234,                0.59398,                0.50934,                0.53141,                0.38448,                 2.4812,                 3.7405,                 3.2106,             0.00031908,             0.00031908,             0.00031908
                     74,                 1.3505,                  1.271,                 2.1299,                0.62237,                0.48706,                0.52462,                0.38364,                 2.5318,                 3.7208,                 3.2926,             0.00030808,             0.00030808,             0.00030808
                     75,                  1.317,                 1.2278,                  2.133,                0.57782,                 0.5427,                0.53681,                0.39556,                  2.517,                 3.6755,                 3.2125,             0.00029708,             0.00029708,             0.00029708
                     76,                 1.2638,                  1.203,                 2.1119,                0.58161,                0.52611,                0.51533,                0.38573,                 2.4903,                 3.9539,                  3.188,             0.00028608,             0.00028608,             0.00028608
                     77,                 1.2685,                 1.2025,                 2.0943,                0.69794,                0.45759,                0.53191,                 0.3985,                 2.5917,                  3.732,                  3.294,             0.00027508,             0.00027508,             0.00027508
                     78,                 1.2646,                 1.1711,                 2.0932,                0.61183,                0.50269,                0.53764,                0.40336,                 2.5084,                 3.6734,                  3.236,             0.00026408,             0.00026408,             0.00026408
                     79,                 1.2437,                  1.146,                 2.0725,                0.61856,                0.50757,                0.53377,                0.39123,                 2.5522,                 3.8158,                 3.3392,             0.00025309,             0.00025309,             0.00025309
                     80,                 1.2288,                 1.1512,                 2.0718,                0.63891,                0.47394,                0.51829,                0.38337,                 2.5588,                 3.8138,                 3.3164,             0.00024209,             0.00024209,             0.00024209
                     81,                 1.2194,                 1.1577,                 2.0846,                0.60968,                0.55998,                0.53067,                0.38147,                  2.529,                 3.8317,                 3.2508,             0.00023109,             0.00023109,             0.00023109
                     82,                  1.249,                 1.1601,                 2.0752,                0.70923,                0.50627,                0.55881,                0.40771,                 2.5923,                 3.7255,                 3.2961,             0.00022009,             0.00022009,             0.00022009
